Sample Name,
Raw File Name,J:\Data\pHilicTest_18APR15\Std1_1.raw
Config File Name,J:\StdMix1_20min_pHILIC_06022013.csv
Laboratory,
Acquisition Start Time,18/04/2015 15:48:16



Peak Num,Index,Compound Name,Formula,Polarity,Compound Info,Detected m/z,Delta (ppm),Expected RT,Actual RT,Adduct1 H+,Adduct2 NH4+,Adduct3 Na+,Frag1,Realm/z,Frag2,Real m/z, Frag3, Real m/z
1,1,1-Naphthylacetic acid,C12H10O2,+,,187.07535,-0.04,4.21,4.16,54057,-,-,-,-,-,-,-,-,
2,2,Serotonin,C10H12N2O,+,,177.10242,1.00,4.28,4.32,97472,-,-,-,-,-,-,-,-,
3,3,Melatonin,C13H16N2O2,+,,233.12831,-0.61,4.67,4.60,642246756,-,-,-,-,-,-,-,-,
4,4,Phenylhydrazine,C6H8N2,+,,109.07608,0.51,5.08,5.03,5947432,-,-,-,-,-,-,-,-,
5,5,Nicotinate,C6H5NO2,+,,124.03932,0.14,6.99,6.87,761863744,-,-,-,-,-,-,-,-,
6,6,Pyridoxine,C8H11NO3,+,,170.08110,-0.41,7.45,7.26,1744299213,-,-,-,-,-,-,-,-,
7,7,riboflavin,C17H20N4O6,+,low conc (10fold),377.14548,-0.22,7.62,7.54,9255138,-,-,-,-,-,-,-,-,
8,8,Glycerol,C3H8O3,+,,93.05468,0.64,8.12,8.00,2873527,-,-,-,-,-,-,-,-,
9,9,Adenine,C5H5N5,+,,136.06174,-0.26,8.34,8.20,167402201,-,-,-,-,-,-,-,-,
10,10,Creatinine,C4H7N3O,+,,114.06613,-0.50,8.42,8.28,1055015474,-,-,-,-,-,-,-,-,
11,11,L-Phenylalanine,C9H11NO2,+,,166.08620,-0.35,8.34,8.33,54983812,-,-,-,-,-,-,-,-,
12,12,L-Leucine,C6H13NO2,+,,132.10185,-0.40,8.74,8.68,178751219,-,-,-,-,-,-,-,-,
13,13,4-Aminobenzoate,C7H7NO2,+,,138.05498,0.16,9.35,8.52,21075822,-,-,-,-,-,-,-,-,
14,14,Inosine,C10H12N4O5,+,,269.08783,-0.80,8.96,8.80,59555340,-,-,-,-,-,-,-,-,
15,15,2-Phenylglycine,C8H9NO2,+,,152.07066,0.38,8.90,7.24,52368552,-,-,-,-,-,-,-,-,
16,16,Selenomethionine,C5H11NO2Se,+,,192.00856,-0.89,9.03,8.98,1204510,-,-,-,-,-,-,-,-,
17,17,L-Methionine,C5H11NO2S,+,,150.05827,-0.35,9.07,9.02,237439616,-,-,-,-,-,-,-,-,
18,18,Imidazole-4-acetate,C5H6N2O2,+,Care:thymidine fragment,127.05019,-0.08,9.03,8.87,591056553,-,-,-,-,-,-,-,-,
19,19,L-Tryptophan,C11H12N2O2,+,,205.09720,0.22,9.35,9.25,85868328,-,-,-,-,-,-,-,-,
20,20,N-Acetyl-D-glucosamine,C8H15NO6,+,,222.09720,-0.07,9.33,9.17,40293668,-,-,-,-,-,-,-,-,
21,21,Cytidine,C9H13N3O5,+,,244.09267,-0.53,9.53,9.36,109541168,-,-,-,-,-,-,-,-,
22,22,Guanine,C5H5N5O,+,,152.05673,0.30,9.98,9.83,48549375,-,-,-,-,-,-,-,-,
23,23,L-Valine,C5H11NO2,+,,118.08617,-0.75,9.59,9.51,94664961,-,-,-,-,-,-,-,-,
24,24,L-Proline,C5H9NO2,+,,116.07052,-0.75,9.75,9.68,551809540,-,-,-,-,-,-,-,-,
25,25,sn-glycero-3-Phosphocholine,C8H20NO6P,+,,258.10983,-1.04,10.23,10.13,600267181,-,-,-,-,-,-,-,-,
26,26,L-Threonine,C4H9NO3,+,,120.06553,0.08,10.40,10.32,41668297,-,-,-,-,-,-,-,-,
27,27,trans-4-Hydroxy-L-proline,C5H9NO3,+,,132.06543,-0.68,10.52,10.38,181788617,-,-,-,-,-,-,-,-,
28,28,L-Histidine,C6H9N3O2,+,,156.07669,-0.40,10.48,10.38,135748481,-,-,-,-,-,-,-,-,
29,29,N2-Acetyl-L-lysine,C8H16N2O3,+,,189.12335,-0.09,10.57,10.47,274050538,-,-,-,-,-,-,-,-,
30,30,D-Glucosamine,C6H13NO5,+,,180.08659,-0.31,10.72,10.71,33959746,-,-,-,-,-,-,-,-,
31,31,L-Glutamine,C5H10N2O3,+,,147.07628,-0.95,10.65,10.55,196459361,-,-,-,-,-,-,-,-,
32,32,Taurine,C2H7NO3S,+,,126.02196,0.14,10.94,10.71,6621584,-,-,-,-,-,-,-,-,
33,33,L-Aspartate,C4H7NO4,+,,134.04468,-0.79,10.52,10.34,3993775,-,-,-,-,-,-,-,-,
34,34,L-Asparagine,C4H8N2O3,+,,133.06073,-0.29,10.76,10.64,14474836,-,-,-,-,-,-,-,-,
35,35,beta-Alanine,C3H7NO2,+,,90.05495,-0.01,10.94,10.77,42118740,-,-,-,-,-,-,-,-,
36,36,Glycine,C2H5NO2,+,notPAG,76.03931,0.12,11.13,10.98,939664,-,-,-,-,-,-,-,-,
37,37,dGMP,C10H14N5O7P,+,,348.07013,-0.66,10.52,10.38,5793276,-,-,-,-,-,-,-,-,
38,38,L-Serine,C3H7NO3,+,,106.04990,0.25,11.09,10.96,5023721,-,-,-,-,-,-,-,-,
39,39,Ethanolamine phosphate,C2H8NO4P,+,,142.02641,0.30,10.72,10.79,2184874,-,-,-,-,-,-,-,-,
40,40,L-Citrulline,C6H13N3O3,+,,176.10294,-0.18,11.04,10.94,150086389,-,-,-,-,-,-,-,-,
41,41,L-Cystine,C6H12N2O4S2,+,,241.03096,-0.68,10.87,10.77,2724121,-,-,-,-,-,-,-,-,
42,42,meso-2_6-Diaminoheptanedioate,C7H14N2O4,+,,191.10257,-0.33,11.80,11.74,24997648,-,-,-,-,-,-,-,-,
-,43,Putrescine,C4H12N2,+,noisy,N,-,11.56,-,N,-,-,-,-,-,-,-,-,
43,44,L-2_4-Diaminobutanoate,C4H10N2O2,+,,119.08153,0.20,12.27,12.39,8581862,-,-,-,-,-,-,-,-,
44,45,Thiamin,C12H16N4OS,+,,265.11157,-0.70,16.71,16.19,86997239,-,-,-,-,-,-,-,-,
45,46,L-Lysine,C6H14N2O2,+,not19.3ampropanol,147.11275,-0.39,15.38,15.46,27170994,-,-,-,-,-,-,-,-,
46,47,L-Arginine,C6H14N4O2,+,,175.11894,-0.06,16.42,16.60,81114888,-,-,-,-,-,-,-,-,
-,48,S-Adenosyl-L-methionine,C15H22N6O5S,+,not seen,N,-,0.00,-,N,-,-,-,-,-,-,-,-,
47,49,Spermidine,C7H19N3,+,not seen,146.16530,0.85,11.17,10.92,197078,-,-,-,-,-,-,-,-,
48,50,Phenolsulfonphthalein,C19H14O5S,-,,353.04938,1.30,5.11,5.11,44919165,-,-,-,-,-,-,-,-,
49,51,Thymidine,C10H14N2O5,-,,241.08330,1.26,6.79,6.71,21414579,-,-,-,-,-,-,-,-,
50,52,MOPS,C7H15NO4S,-,,208.06503,0.63,6.73,6.56,71192728,-,-,-,-,-,-,-,-,
51,53,Pyruvate,C3H4O3,-,,87.00881,0.51,7.41,7.21,14963773,-,-,-,-,-,-,-,-,
52,54,Deoxyuridine,C9H12N2O5,-,,227.06773,1.71,7.52,7.40,11838596,-,-,-,-,-,-,-,-,
53,55,4-Coumarate,C9H8O3,-,,163.04024,1.04,7.39,7.25,73970699,-,-,-,-,-,-,-,-,
54,56,pyrazinoate,C5H4N2O2,-,,123.02004,0.34,7.72,7.58,7430049,-,-,-,-,-,-,-,-,
55,57,(R)-3-Hydroxybutanoate,C4H8O3,-,,103.04008,0.17,7.87,7.71,34808878,-,-,-,-,-,-,-,-,
56,58,3'_5'-Cyclic AMP,C10H12N5O6P,-,,328.04565,1.25,7.93,7.82,26823290,-,-,-,-,-,-,-,-,
57,59,Uridine,C9H12N2O6,-,,243.06250,0.99,8.47,8.36,3158130,-,-,-,-,-,-,-,-,
58,60,D-glucose,C6H12O6,-,,179.05627,0.91,10.77,10.99,436879,-,-,-,-,-,-,-,-,
59,61,Orotate,C5H4N2O4,-,,155.00993,0.67,8.58,8.30,85112693,-,-,-,-,-,-,-,-,
60,62,L-Rhamnose,C6H12O5,-,,163.06136,0.97,9.16,9.03,284977,-,-,-,-,-,-,-,-,
61,63,Xanthine,C5H4N4O2,-,,151.02618,0.23,9.28,9.03,1995407,-,-,-,-,-,-,-,-,
62,64,3_4-Dihydroxyphenylacetate,C8H8O4,-,,167.03503,0.31,10.15,9.78,3680140,-,-,-,-,-,-,-,-,
-,65,Pyridoxal phosphate,C8H10NO6P,-,,N,-,0.00,-,N,-,-,-,-,-,-,-,-,
63,66,Phthalate,C8H6O4,-,,165.01933,0.01,10.24,9.93,322794547,-,-,-,-,-,-,-,-,
64,67,D-Gluconic acid,C6H12O7,-,,195.05112,0.47,10.17,9.99,27716306,-,-,-,-,-,-,-,-,
65,68,UMP,C9H13N2O9P,-,,323.02902,1.34,9.93,9.78,7867442,-,-,-,-,-,-,-,-,
66,69,Thiamin diphosphate,C12H18N4O7P2S,-,,423.03067,1.90,9.86,10.31,1011017,-,-,-,-,-,-,-,-,
67,70,L-Glutamate,C5H9NO4,-,care7.94,146.04593,0.33,10.34,10.14,11446357,-,-,-,-,-,-,-,-,
68,71,IMP,C10H13N4O8P,-,,347.04031,1.41,10.15,10.33,347567,-,-,-,-,-,-,-,-,
69,72,Methylmalonate,C4H6O4,-,,117.01927,-0.51,10.54,10.27,107937606,-,-,-,-,-,-,-,-,
70,73,CMP,C9H14N3O8P,-,,322.04495,1.17,10.43,10.29,7210430,-,-,-,-,-,-,-,-,
71,74,(R)-2-Hydroxyglutarate,C5H8O5,-,,147.02992,0.18,10.62,10.37,143469746,-,-,-,-,-,-,-,-,
72,75,L-Cysteate,C3H7NO5S,-,,167.99727,0.31,11.08,10.80,69597968,-,-,-,-,-,-,-,-,
73,76,D-ribose 5-phosphate,C5H11O8P,-,,229.01205,0.77,10.66,10.57,4347736,-,-,-,-,-,-,-,-,
74,77,Malonate,C3H4O4,-,,103.00367,-0.12,10.95,10.70,125719984,-,-,-,-,-,-,-,-,
75,78,D-Galacturonate,C6H10O7,-,,193.03543,0.29,11.28,11.04,30516859,-,-,-,-,-,-,-,-,
76,79,Fumarate,C4H4O4,-,,115.00365,-0.24,9.89,10.87,11522806,-,-,-,-,-,-,-,-,
77,80,D-glucose 6-phosphate,C6H13O9P,-,,259.02264,0.78,11.12,10.99,2230488,-,-,-,-,-,-,-,-,
78,81,D-Galactarate,C6H10O8,-,,209.03043,0.65,11.48,11.28,12791479,-,-,-,-,-,-,-,-,
79,82,Phosphoenolpyruvate,C3H5O6P,-,,166.97516,0.37,11.52,11.34,24680309,-,-,-,-,-,-,-,-,
80,83,6-Phospho-D-gluconate,C6H13O10P,-,,275.01773,1.36,11.39,11.34,1638193,-,-,-,-,-,-,-,-,
