Sample Name,
Raw File Name,J:\Data\pHilicTest_18APR15\Std3_1.raw
Config File Name,J:\StdMix3_20min_pHILIC_06022013.csv
Laboratory,
Acquisition Start Time,18/04/2015 14:55:43



Peak Num,Index,Compound Name,Formula,Polarity,Compound Info,Detected m/z,Delta (ppm),Expected RT,Actual RT,Adduct1 H+,Adduct2 NH4+,Adduct3 Na+,Frag1,Realm/z,Frag2,Real m/z, Frag3, Real m/z
1,1,Dihydrolipoamide,C8H17NOS2,+,,208.08241,-0.09,8.11,4.63,209470,-,-,-,-,-,-,-,-,
2,2,lipoamide,C8H15NOS2,+,,206.06679,0.03,4.94,4.90,335437062,-,-,-,-,-,-,-,-,
3,3,2-Aminobutan-4-olide,C4H7NO2,+,,102.05494,-0.15,6.62,6.33,128745378,-,-,-,-,-,-,-,-,
4,4,2-hydroxyethyldisulfide,C4H10O2S2,+,,155.01920,-1.95,6.80,6.71,216825,-,-,-,-,-,-,-,-,
5,5,Isonicotinic acid,C6H5NO2,+,,124.03926,-0.36,7.01,6.92,1102801408,-,-,-,-,-,-,-,-,
6,6,L-cysteine,C3H7NO2S,+,,122.02703,0.04,7.16,10.21,12799374,-,-,-,-,-,-,-,-,
7,7,L-Noradrenaline,C8H11NO3,+,?unstable,170.08130,0.76,7.42,7.63,96950,-,-,-,-,-,-,-,-,
-,8,Biopterin,C9H11N5O3,+,?stability,N,-,7.86,-,N,-,-,-,-,-,-,-,-,
8,9,O-Acetylcarnitine,C9H17NO4,+,unstable,204.12289,-0.69,8.74,8.67,2530268729,-,-,-,-,-,-,-,-,
9,10,O-Acetyl-L-serine,C5H9NO4,+,not NacGlu unstable,148.06027,-1.09,8.55,9.78,34229806,-,-,-,-,-,-,-,-,
10,11,L-Homocysteine,C4H9NO2S,+,,136.04271,0.25,9.94,10.92,8255562,-,-,-,-,-,-,-,-,
11,12,5-Aminolevulinate,C5H9NO3,+,unstable,132.06534,-1.37,9.77,9.64,427691986,-,-,-,-,-,-,-,-,
12,13,gamma-L-Glutamyl-L-cysteine,C8H14N2O5S,+,care:GSH,251.06941,-0.82,10.05,9.86,39698196,-,-,-,-,-,-,-,-,
13,14,glutathione,C10H17N3O6S,+,,308.09119,0.34,10.05,9.88,1590969,-,-,-,-,-,-,-,-,
14,15,Acetylcholine,C7H15NO2,+,,146.11748,-0.53,12.79,12.57,1215947874,-,-,-,-,-,-,-,-,
15,16,L-Cystine,C6H12N2O4S2,+,,241.03101,-0.49,10.84,10.79,9650940,-,-,-,-,-,-,-,-,
-,17,Homocystine,C8H16N2O4S2,+,,N,-,0.00,-,N,-,-,-,-,-,-,-,-,
-,18,S-glutathionyl-L-cysteine,C13H22N4O8S2,+,,N,-,0.00,-,N,-,-,-,-,-,-,-,-,
16,19,Mercaptoethanol,C2H6OS,+,not seen,79.02116,-0.61,21.50,21.79,39880590,-,-,-,-,-,-,-,-,
-,20,trypanothione,C27H49N9O10S2,+,not seen,N,-,10.46,-,N,-,-,-,-,-,-,-,-,
17,21,Glutathione disulfide,C20H32N6O12S2,+,not seen,613.15936,0.20,11.05,10.92,15392025,-,-,-,-,-,-,-,-,
18,22,Bis-gamma-glutamylcystine,C16H26N4O10S2,+,not seen,499.11624,-0.14,11.32,11.14,7591751,-,-,-,-,-,-,-,-,
19,23,Benzoate,C7H6O2,-,,121.02953,0.19,6.41,6.04,9868975,-,-,-,-,-,-,-,-,
20,24,acetylcysteine,C5H9NO3S,-,,162.02312,0.49,7.11,7.01,2753303,-,-,-,-,-,-,-,-,
21,25,D-Glucono-1_4-lactone,C6H10O6,-,noisy,177.04056,0.55,9.26,7.51,11297278,-,-,-,-,-,-,-,-,
22,26,Acetoacetate,C4H6O3,-,noisyNOT:2OGfrag,101.02440,-0.18,7.55,7.34,5062008,-,-,-,-,-,-,-,-,
23,27,Maleic acid,C4H4O4,-,,115.00345,-2.03,9.86,9.28,599787751,-,-,-,-,-,-,-,-,
24,28,D-Arabinose,C5H10O5,-,,149.04556,0.11,10.42,10.13,303208,-,-,-,-,-,-,-,-,
25,29,D-Fructose,C6H12O6,-,,179.05626,0.83,10.34,10.11,3850571,-,-,-,-,-,-,-,-,
26,30,Orthophosphate,H3O4P,-,,96.96962,0.01,10.64,10.84,12672021,-,-,-,-,-,-,-,-,
27,31,NADH,C21H29N7O14P2,-,,664.11902,2.29,9.44,8.98,12947696,-,-,-,-,-,-,-,-,
28,32,L-Dehydroascorbate,C6H6O6,-,noisy,173.00920,0.23,11.81,11.55,39967,-,-,-,-,-,-,-,-,
29,33,N-acetyl-L-glutamate,C7H11NO5,-,,188.05653,0.47,9.99,9.77,448980822,-,-,-,-,-,-,-,-,
30,34,ascorbate,C6H8O6,-,,175.02499,1.04,10.64,10.58,24091,-,-,-,-,-,-,-,-,
31,35,Itaconate,C5H6O4,-,,129.01932,-0.11,10.64,10.37,183653107,-,-,-,-,-,-,-,-,
32,36,D-Fructose 6-phosphate,C6H13O9P,-,,259.02258,0.55,10.74,10.61,41093906,-,-,-,-,-,-,-,-,
33,37,Adenosine 2'_5'-bisphosphate,C10H15N5O10P2,-,split,426.02286,1.69,10.68,10.73,4686716,-,-,-,-,-,-,-,-,
34,38,2-phospho-D-glycerate,C3H7O7P,-,,184.98573,0.38,11.11,10.95,46332985,-,-,-,-,-,-,-,-,
35,39,pyrophosphate,H4O7P2,-,smear,176.93607,0.66,11.49,10.84,425160,-,-,-,-,-,-,-,-,
-,40,NADPH,C21H30N7O17P3,-,not seen,N,-,0.00,-,N,-,-,-,-,-,-,-,-,
