Sample Name,
Raw File Name,E:\Data\QExactive\thermo_collaboration\stds1.raw
Config File Name,Z:\StdMix1_Jun2011.csv
Laboratory,
Acquisition Start Time,01/08/2012 13:26:53



Peak Num,Index,Compound Name,Formula,Polarity,Compound Info,Detected m/z,Delta (ppm),Expected RT,Actual RT,Adduct1 H+,Adduct2 NH4+,Adduct3 Na+,Frag1,Realm/z,Frag2,Real m/z, Frag3, Real m/z
-,1,Spermidine,C7H19N3,+,,N,-,44.76,-,N,-,-,-,-,-,-,-,-,
1,2,Imidazole-4-acetate,C5H6N2O2,+,Care:thymidine fragment,127.05005,-1.22,16.37,16.67,144409711,-,-,-,-,-,-,-,-,
2,3,N-Acetyl-D-glucosamine,C8H15NO6,+,,222.09692,-1.31,13.59,11.39,28975846,-,-,-,-,-,-,-,-,
3,4,1-Naphthylacetic acid,C12H10O2,+,,187.07513,-1.19,5.49,5.55,3188583,-,-,-,-,-,-,-,-,
4,5,Melatonin,C13H16N2O2,+,,233.12807,-1.66,5.88,5.96,240407840,-,-,-,-,-,-,-,-,
5,6,Phenylhydrazine,C6H8N2,+,,109.07609,0.58,6.06,6.12,1245409,-,-,-,-,-,-,-,-,
6,7,4-Aminobenzoate,C7H7NO2,+,,138.05490,-0.39,6.21,6.25,342777385,-,-,-,-,-,-,-,-,
7,8,Nicotinate,C6H5NO2,+,,124.03918,-1.03,7.92,7.94,810244959,-,-,-,-,-,-,-,-,
8,9,riboflavin,C17H20N4O6,+,low conc (10fold),377.14493,-1.68,8.11,8.00,14519526,-,-,-,-,-,-,-,-,
9,10,Glycerol,C3H8O3,+,,93.05459,-0.35,10.70,9.86,3910894,-,-,-,-,-,-,-,-,
10,11,Inosine,C10H12N4O5,+,,269.08749,-2.05,11.11,10.30,148975376,-,-,-,-,-,-,-,-,
11,12,L-Phenylalanine,C9H11NO2,+,,166.08604,-1.27,12.52,12.40,263080672,-,-,-,-,-,-,-,-,
12,13,L-Leucine,C6H13NO2,+,,132.10175,-1.21,13.14,13.04,287342605,-,-,-,-,-,-,-,-,
13,14,L-Tryptophan,C11H12N2O2,+,,205.09697,-0.90,13.31,13.19,157561366,-,-,-,-,-,-,-,-,
14,15,2-Phenylglycine,C8H9NO2,+,,152.07043,-1.12,13.91,13.33,136961104,-,-,-,-,-,-,-,-,
15,16,Selenomethionine,C5H11NO2Se,+,,192.00850,-1.21,13.85,13.56,2321755,-,-,-,-,-,-,-,-,
16,17,L-Methionine,C5H11NO2S,+,,150.05815,-1.16,14.23,13.81,382843405,-,-,-,-,-,-,-,-,
17,18,Guanine,C5H5N5O,+,,152.05649,-1.30,14.75,14.37,36414592,-,-,-,-,-,-,-,-,
18,19,Pyridoxine,C8H11NO3,+,,170.08092,-1.48,14.95,15.67,361773390,-,-,-,-,-,-,-,-,
19,20,L-Valine,C5H11NO2,+,,118.08609,-1.40,15.15,14.71,265452972,-,-,-,-,-,-,-,-,
20,21,Adenine,C5H5N5,+,,136.06161,-1.15,14.95,15.25,232077528,-,-,-,-,-,-,-,-,
21,22,L-Proline,C5H9NO2,+,,116.07049,-1.01,16.43,15.38,334940683,-,-,-,-,-,-,-,-,
22,23,Serotonin,C10H12N2O,+,,177.10202,-1.24,16.22,16.87,44106822,-,-,-,-,-,-,-,-,
23,24,Taurine,C2H7NO3S,+,,126.02182,-0.95,17.41,15.52,31903220,-,-,-,-,-,-,-,-,
24,25,trans-4-Hydroxy-L-proline,C5H9NO3,+,,132.06535,-1.26,17.35,16.06,208776750,-,-,-,-,-,-,-,-,
25,26,Creatinine,C4H7N3O,+,,114.06607,-1.03,17.19,17.77,549892598,-,-,-,-,-,-,-,-,
26,27,N2-Acetyl-L-lysine,C8H16N2O3,+,,189.12312,-1.30,17.69,17.83,103723142,-,-,-,-,-,-,-,-,
27,28,L-Threonine,C4H9NO3,+,,120.06540,-1.00,18.02,17.04,113190653,-,-,-,-,-,-,-,-,
28,29,L-Aspartate,C4H7NO4,+,,134.04460,-1.36,18.33,17.02,28411054,-,-,-,-,-,-,-,-,
29,30,L-Glutamine,C5H10N2O3,+,,147.07623,-1.26,18.68,17.63,102077560,-,-,-,-,-,-,-,-,
30,31,beta-Alanine,C3H7NO2,+,,90.05491,-0.51,18.51,18.81,74121728,-,-,-,-,-,-,-,-,
31,32,L-Asparagine,C4H8N2O3,+,,133.06061,-1.21,19.19,18.02,77277067,-,-,-,-,-,-,-,-,
32,33,dGMP,C10H14N5O7P,+,,348.06973,-1.80,19.45,15.59,1659660,-,-,-,-,-,-,-,-,
33,34,L-Serine,C3H7NO3,+,,106.04978,-0.83,19.22,18.13,49730985,-,-,-,-,-,-,-,-,
34,35,L-Citrulline,C6H13N3O3,+,,176.10275,-1.22,19.53,18.56,43003564,-,-,-,-,-,-,-,-,
35,36,Cytidine,C9H13N3O5,+,,244.09235,-1.85,19.45,19.46,219318970,-,-,-,-,-,-,-,-,
36,37,Ethanolamine phosphate,C2H8NO4P,+,,142.02621,-1.10,20.41,18.81,3731497,-,-,-,-,-,-,-,-,
37,38,Glycine,C2H5NO2,+,notPAG,76.03931,0.02,20.50,18.21,16112013,-,-,-,-,-,-,-,-,
38,39,sn-glycero-3-Phosphocholine,C8H20NO6P,+,,258.10959,-1.98,20.69,19.02,33173342,-,-,-,-,-,-,-,-,
-,40,L-Cystine,C6H12N2O4S2,+,,N,-,23.11,-,N,-,-,-,-,-,-,-,-,
39,41,D-Glucosamine,C6H13NO5,+,,180.08641,-1.32,23.77,23.05,3659932,-,-,-,-,-,-,-,-,
-,42,meso-2_6-Diaminoheptanedioate,C7H14N2O4,+,,N,-,24.08,-,N,-,-,-,-,-,-,-,-,
40,43,L-Histidine,C6H9N3O2,+,,156.07661,-0.89,25.50,25.59,2543118,-,-,-,-,-,-,-,-,
-,44,L-2_4-Diaminobutanoate,C4H10N2O2,+,,N,-,26.51,-,N,-,-,-,-,-,-,-,-,
41,45,L-Lysine,C6H14N2O2,+,not19.3ampropanol,147.11273,-0.49,26.52,27.04,184588,-,-,-,-,-,-,-,-,
42,46,L-Arginine,C6H14N4O2,+,,175.11876,-1.10,26.54,26.94,818391,-,-,-,-,-,-,-,-,
43,47,Thiamin,C12H16N4OS,+,,265.11127,-1.85,29.05,31.16,81401792,-,-,-,-,-,-,-,-,
-,48,S-Adenosyl-L-methionine,C15H22N6O5S,+,,N,-,29.44,-,N,-,-,-,-,-,-,-,-,
-,49,Putrescine,C4H12N2,+,,N,-,32.48,-,N,-,-,-,-,-,-,-,-,
44,50,4-Coumarate,C9H8O3,-,,163.04007,0.01,5.86,5.93,62466540,-,-,-,-,-,-,-,-,
45,51,(R)-3-Hydroxybutanoate,C4H8O3,-,,103.04005,-0.20,6.85,6.95,17502414,-,-,-,-,-,-,-,-,
46,52,Phthalate,C8H6O4,-,,165.01918,-0.92,6.38,6.15,401525332,-,-,-,-,-,-,-,-,
47,53,Fumarate,C4H4O4,-,,115.00366,-0.17,6.69,6.47,53115433,-,-,-,-,-,-,-,-,
48,54,Methylmalonate,C4H6O4,-,,117.01929,-0.38,6.96,6.78,154655215,-,-,-,-,-,-,-,-,
49,55,3_4-Dihydroxyphenylacetate,C8H8O4,-,,167.03497,-0.05,7.16,7.14,65787862,-,-,-,-,-,-,-,-,
50,56,Thymidine,C10H14N2O5,-,,241.08315,0.62,7.38,7.41,12594363,-,-,-,-,-,-,-,-,
51,57,Phenolsulfonphthalein,C19H14O5S,-,,353.04883,-0.25,6.53,5.04,56878189,-,-,-,-,-,-,-,-,
52,58,Pyruvate,C3H4O3,-,,87.00871,-0.71,8.15,7.08,30605434,-,-,-,-,-,-,-,-,
53,59,Malonate,C3H4O4,-,,103.00362,-0.56,8.23,7.60,61858402,-,-,-,-,-,-,-,-,
54,60,(R)-2-Hydroxyglutarate,C5H8O5,-,,147.02985,-0.34,8.12,7.89,94579425,-,-,-,-,-,-,-,-,
55,61,Deoxyuridine,C9H12N2O5,-,,227.06750,0.71,8.15,8.05,10929652,-,-,-,-,-,-,-,-,
56,62,pyrazinoate,C5H4N2O2,-,,123.02000,0.03,12.02,11.17,170533,-,-,-,-,-,-,-,-,
57,63,Xanthine,C5H4N4O2,-,,151.02617,0.13,9.30,9.06,1017356,-,-,-,-,-,-,-,-,
58,64,Gallate,C7H6O5,-,,169.01422,-0.15,9.50,9.08,152859675,-,-,-,-,-,-,-,-,
59,65,Uridine,C9H12N2O6,-,,243.06224,-0.08,9.76,9.28,27418344,-,-,-,-,-,-,-,-,
60,66,cis-Aconitate,C6H6O6,-,,173.00909,-0.39,10.41,7.33,378546323,-,-,-,-,-,-,-,-,
61,67,L-Rhamnose,C6H12O5,-,,163.06125,0.32,11.06,10.16,2570093,-,-,-,-,-,-,-,-,
62,68,Orotate,C5H4N2O4,-,,155.00980,-0.22,12.48,8.87,83476993,-,-,-,-,-,-,-,-,
63,69,MOPS,C7H15NO4S,-,,208.06491,0.04,14.81,13.28,111430192,-,-,-,-,-,-,-,-,
64,70,D-Gluconic acid,C6H12O7,-,,195.05107,0.23,16.64,15.22,21061263,-,-,-,-,-,-,-,-,
-,71,Pyridoxal phosphate,C8H10NO6P,-,,N,-,17.11,-,N,-,-,-,-,-,-,-,-,
65,72,D-Galacturonate,C6H10O7,-,,193.03539,0.05,16.67,14.53,12865538,-,-,-,-,-,-,-,-,
66,73,D-Galactarate,C6H10O8,-,,209.03047,0.87,19.32,15.22,437661,-,-,-,-,-,-,-,-,
67,74,3'_5'-Cyclic AMP,C10H12N5O6P,-,,328.04532,0.23,16.73,14.07,39322959,-,-,-,-,-,-,-,-,
68,75,UMP,C9H13N2O9P,-,,323.02869,0.30,16.92,12.56,34169627,-,-,-,-,-,-,-,-,
69,76,IMP,C10H13N4O8P,-,,347.03979,-0.08,17.93,13.11,31593058,-,-,-,-,-,-,-,-,
70,77,L-Cysteate,C3H7NO5S,-,,167.99715,-0.41,19.35,15.08,356688464,-,-,-,-,-,-,-,-,
71,78,D-ribose 5-phosphate,C5H11O8P,-,,229.01192,0.18,19.94,15.18,1813697,-,-,-,-,-,-,-,-,
72,79,CMP,C9H14N3O8P,-,,322.04471,0.42,20.67,18.76,4760848,-,-,-,-,-,-,-,-,
73,80,D-glucose 6-phosphate,C6H13O9P,-,,259.02243,-0.04,21.85,17.01,1139574,-,-,-,-,-,-,-,-,
74,81,Phosphoenolpyruvate,C3H5O6P,-,,166.97513,0.18,22.75,17.93,71319,-,-,-,-,-,-,-,-,
-,82,6-Phospho-D-gluconate,C6H13O10P,-,,N,-,26.91,-,N,-,-,-,-,-,-,-,-,
-,83,Thiamin diphosphate,C12H18N4O7P2S,-,,N,-,35.95,-,N,-,-,-,-,-,-,-,-,
75,84,L-Glutamate,C5H9NO4,-,care7.94,146.04585,-0.19,17.61,16.70,32938347,-,-,-,-,-,-,-,-,
76,85,D-glucose,C6H12O6,-,,179.05617,0.31,15.74,13.92,8762864,-,-,-,-,-,-,-,-,
-,86,D-Erythrose,C4H8O4,-,noisy,N,-,10.02,-,-,-,-,-,-,-,-,-,-,
-,87,Maltose,C12H22O11,-,noisy,N,-,16.89,-,-,-,-,-,-,-,-,-,-,
-,88,2-oxobutanoate,C4H6O3,-,noisy,N,-,9.90,-,-,-,-,-,-,-,-,-,-,
-,89,2-Methylcitrate,C7H10O7,-,noisy,N,-,9.30,-,-,-,-,-,-,-,-,-,-,
-,90,Glyoxylate,C2H2O3,-,not consistent,N,-,11.54,-,-,-,-,-,-,-,-,-,-,
-,91,glycolate,C2H4O3,-,not consistent,N,-,8.28,-,-,-,-,-,-,-,-,-,-,
-,92,methylglyoxal,C3H4O2,-,Maybe:fumarate,N,-,0.00,-,-,-,-,-,-,-,-,-,-,
-,93,IDP,C10H14N4O11P2,-,,N,-,30.24,-,-,-,-,-,-,-,-,-,-,
-,94,ADP,C10H15N5O10P2,-,not NADP+,N,-,28.24,-,-,-,-,-,-,-,-,-,-,
-,95,D-Fructose 1_6-bisphosphate,C6H14O12P2,-,,N,-,41.53,-,-,-,-,-,-,-,-,-,-,
-,96,CoA,C21H36N7O16P3S,-,not seen,N,-,0.00,-,-,-,-,-,-,-,-,-,-,
-,97,2_3-Bisphospho-D-glycerate,C3H8O10P2,-,not seen,N,-,0.00,-,-,-,-,-,-,-,-,-,-,
-,98,3-Hydroxyphenylacetate,C8H8O3,-,not seen,N,-,0.00,-,-,-,-,-,-,-,-,-,-,
-,99,Deoxyribose,C5H10O4,-,not seen,N,-,0.00,-,-,-,-,-,-,-,-,-,-,
-,100,Cholesterol,C27H46O,+,not seen,N,-,0.00,-,-,-,-,-,-,-,-,-,-,
-,101,1-Butanol,C4H10O,+,noise,N,-,0.00,-,-,-,-,-,-,-,-,-,-,
-,102,Oxaloacetate,C4H4O5,+,unstable,N,-,0.00,-,-,-,-,-,-,-,-,-,-,
-,103,Imidazole,C3H4N2,+,not seen,N,-,0.00,-,-,-,-,-,-,-,-,-,-,
-,104,glyceraldehyde,C3H6O3,+,not consistent,N,-,10.00,-,-,-,-,-,-,-,-,-,-,
